Weight,Word
-120.40140681826827,breitbart
-71.43999577198434,000
-51.422982831296196,york
-48.22402884961161,follow
-41.29652382084621,said
-39.05590777915061,twitter
-36.20525059119768,2017
-35.94062320419752,times
-32.59942454735045,com
-28.769099167216666,but
-28.484604169471456,katherine
-24.847610554237676,jerome
-23.886002769692755,mr
-23.013011095196898,charlie
-22.09694547782435,ms
-20.909550908023682,president
-20.209372535718963,ian
-19.604600773949187,dr
-19.4761316798182,jeff
-18.903117263059336,sunday
-18.804820660997628,march
-18.315144436337377,pic
-17.951129285001535,administration
-17.811695041335867,islamic
-17.2966556106977,mrs
-17.041601568149755,todd
-16.819360911971188,pam
-16.690442182573452,http
-15.878400951115836,milo
-15.774667547677993,rodrigueza
-15.532090761296743,added
-15.497891510523438,statement
-15.446530582993777,last
-15.4256984612699,app
-15.419525955246591,united
-14.655686695199662,novel
-14.433135880403261,haley
-14.32753901420575,document
-14.292996344103733,sen
-14.13369256779917,including
-14.041571720188463,long
-13.833198503032062,deadline
-13.812552527329943,terror
-13.77819327061003,trent
-13.716241051069495,spieringpresident
-13.624247252839867,ideology
-13.489233982679817,reacting
-13.469298118535285,reported
-13.385377789414019,whether
-13.371941344156781,april
-13.36860493308149,player
-13.317651227715414,jeromeehudson
-13.257080659040154,february
-13.207591348156821,wrote
-13.199791255039557,illegal
-13.026606588505949,among
-13.009639211275148,aaron
-12.95153469017052,ali
-12.863123666174157,january
-12.825617172622161,jeff_poor
-12.803701058944759,aviv
-12.64319215687077,thursday
-12.393636617241349,delingpole
-12.34331878685729,tillerson
-12.319627495144632,schwarzenegger
-12.253599164867175,coach
-12.247737712963724,argued
-12.216006583925507,dowd
-12.049464231836502,register
-12.038129475712664,together
-12.025905829674205,jerusalemthe
-11.998009185390986,five
-11.983857040563157,barack
-11.931120375369234,ianhanchett
-11.889742759147326,hanchett
-11.819140482786738,mondale
-11.802782158495765,kirshner
-11.767535291323142,hudson
-11.730325735028153,decision
-11.69388010398091,collusion
-11.69191245919993,the
-11.663441790833762,report
-11.654365914646306,saturday
-11.639477212068654,new
-11.635303691893359,macron
-11.624914004088165,nomination
-11.558164900775306,percent
-11.536113470829479,ben
-11.52203870375878,states
-11.490506908228985,seat
-11.412175369506704,monday
-11.367847246315627,young
-11.3643999905948,iverson
-11.354083825214994,its
-11.329568923016259,joule
-11.129521357224284,june
-10.92598178141103,____
-10.920722277171787,approach
-10.91793681585261,along
-10.907545662881928,dznussbaum
